거리구간,카페수,비율(%)
0 ~ 50m,1317,4.8330275229357795
50 ~ 100m,1447,5.3100917431192665
100 ~ 300m,9807,35.98899082568807
300 ~ 500m,6920,25.394495412844037
500 ~ 1km,7759,28.473394495412848
1km 이상,0,0.0
