반경,반경_m,카페수,비율(%)
50m 이내,50,1317,4.8330275229357795
100m 이내,100,2764,10.143119266055047
300m 이내,300,12571,46.132110091743115
500m 이내,500,19491,71.52660550458717
1000m 이내,1000,27250,100.0
